"id","prioritat","domini","accio","ruta_origen","ruta_destinacio","precondicio","motiu"
"BRAIN-015","P1","identitat","MERGE_DELETE","_wiki_de_poble/01_SABER_Cultura_Coneixement/00_visio_i_pilars.md","_wiki_de_poble/00_SER_Brain_Identitat/el_projecte.md","Fer el_projecte font única","Dues fonts úniques declarades"
"BRAIN-016","P1","identitat","MERGE_ARCHIVE","_wiki_de_poble/00_SER_Brain_Identitat/02_GENOTIP.md",".agents/identity/PROFILE.md i 03_GOVERNAR","Separar valors de lleis tècniques","Congela offline/A10 i duplica autoritat"
"BRAIN-017","P2","identitat","MERGE_ARCHIVE","_wiki_de_poble/00_SER_Brain_Identitat/anatomia_cognitiva.md",".agents/identity/PROFILE.md","Destil·lar principis útils","Metàfora normativa duplicada"
"BRAIN-018","P2","identitat","MERGE_ARCHIVE","_wiki_de_poble/00_SER_Brain_Identitat/perfil_psiquiatric.md",".agents/identity/PROFILE.md","Destil·lar parar davant risc i energia humana","Metàfora normativa duplicada"
"BRAIN-019","P2","identitat","MERGE_ARCHIVE","_wiki_de_poble/00_SER_Brain_Identitat/antigravity.md",".agents/identity/PROFILE.md","Retirar dependència Gemini/A10","Metàfora normativa duplicada"
"BRAIN-020","P2","marca","MERGE_DELETE","_wiki_de_poble/00_SER_Brain_Identitat/DOC_Logos_Oficials.md","_wiki_de_poble/00_SER_Brain_Identitat/identitat_visual.md","Substituir placeholders per assets reals","Duplica marca i conté placeholders"
"BRAIN-021","P2","moure","MOVE","_wiki_de_poble/00_SER_Brain_Identitat/DOC_Taula_Mestra.md","_wiki_de_poble/02_ACTUAR_Maquina_Tecnica/obsidian_plugins/DOC_Taula_Mestra.md","","És Dataview, no identitat"
"BRAIN-022","P2","moure","MOVE_REWRITE","_wiki_de_poble/00_SER_Brain_Identitat/03_Consola_Termodinamica.md","_wiki_de_poble/02_ACTUAR_Maquina_Tecnica/observability/Consola_Termodinamica.md","Retirar estats implementat falsos","Observabilitat tècnica, no identitat"
"BRAIN-023","P2","moure","MOVE_ARCHIVE","_wiki_de_poble/00_SER_Brain_Identitat/connectors_mcp_disseny.md","_wiki_de_poble/02_ACTUAR_Maquina_Tecnica/technology-radar/connectors_mcp_disseny.md","Data de revisió obligatòria","Radar temporal"
"BRAIN-024","P2","vendor","MOVE_OR_DELETE","_wiki_de_poble/00_SER_Brain_Identitat/Sollutia/","_wiki_de_poble/02_ACTUAR_Maquina_Tecnica/references/vendor/sollutia/","Només si es recuperen references absents","Manuals incomplets amb enllaços trencats"
"BRAIN-025","P2","moc","DELETE","_wiki_de_poble/01_SABER_Cultura_Coneixement/Coneixement.md","","Reenllaçar des d'índex real","MOC buit"
"BRAIN-026","P2","moc","DELETE","_wiki_de_poble/01_SABER_Cultura_Coneixement/Govern.md","","Reenllaçar des d'índex real","MOC buit"
"BRAIN-027","P2","moc","DELETE","_wiki_de_poble/01_SABER_Cultura_Coneixement/Graf.md","","Reenllaçar des d'índex real","MOC buit"
"BRAIN-028","P2","moc","DELETE","_wiki_de_poble/01_SABER_Cultura_Coneixement/Identitat.md","","Reenllaçar des d'índex real","MOC buit"
"BRAIN-029","P2","moc","DELETE","_wiki_de_poble/01_SABER_Cultura_Coneixement/Maquina.md","","Reenllaçar des d'índex real","MOC buit"
"BRAIN-030","P1","metadades","MERGE_DELETE","_wiki_de_poble/01_SABER_Cultura_Coneixement/INDEX_TAXONOMIC.md","_wiki_de_poble/03_GOVERNAR_Normativa_Regles/metadata_schema.json","Adoptar un enum únic","Vocabulari divergent"
"BRAIN-031","P2","arquitectura","MOVE","_wiki_de_poble/01_SABER_Cultura_Coneixement/codex_huma/Arquitectura_La_Forja.md","_wiki_de_poble/02_ACTUAR_Maquina_Tecnica/architecture/Arquitectura_La_Forja.md","Modernitzar","No és cultura"
"BRAIN-032","P2","arquitectura","MERGE_ARCHIVE","_wiki_de_poble/01_SABER_Cultura_Coneixement/codex_huma/Arquitectura_L_Anima.md","_wiki_de_poble/00_SER_Brain_Identitat/el_projecte.md","Destil·lar propòsit","Contracte local-first derogat"
"BRAIN-033","P1","arquitectura","ARCHIVE","_wiki_de_poble/01_SABER_Cultura_Coneixement/codex_huma/Arquitectura_Sistema_Nervios.md","_wiki_de_poble/04_ARXIU_Documents_Historics/2026_08/","","Full de ruta P2P/CRDT derogat"
"BRAIN-034","P2","runbook","MOVE_REWRITE","_wiki_de_poble/01_SABER_Cultura_Coneixement/codex_huma/Arquitectura_Protocol_Lazaro.md","_wiki_de_poble/02_ACTUAR_Maquina_Tecnica/runbooks/recovery.md","Fer-lo coincidir amb fitxers reals","Cita vite.config absent"
"BRAIN-035","P1","norma","KEEP_REWRITE","_wiki_de_poble/03_GOVERNAR_Normativa_Regles/DOC_Governanca.md","","","Nucli de govern"
"BRAIN-036","P1","norma","KEEP_REWRITE","_wiki_de_poble/03_GOVERNAR_Normativa_Regles/ESTANDARD_Pedra_Seca.md","","","Nucli tècnic compacte i modern"
"BRAIN-037","P0","privacitat","KEEP_REWRITE","_wiki_de_poble/03_GOVERNAR_Normativa_Regles/LLEI_05_Privacitat.md","","Alinear bot i web amb la llei","Nucli de privacitat"
"BRAIN-038","P2","tokens","MERGE_DELETE","_wiki_de_poble/03_GOVERNAR_Normativa_Regles/ESTANDARD_Tokens_Pedra_Seca.md","src/config/design-tokens.json o tokens.css generat","Triar una única font machine-readable usada","Inter/system-ui i 44/48 px es contradiuen"
"BRAIN-039","P1","ui","SPLIT_ARCHIVE","_wiki_de_poble/03_GOVERNAR_Normativa_Regles/ESTANDARD_UI_Universal.md","_wiki_de_poble/04_ARXIU_Documents_Historics/2026_08/","Conservar només contracte verificat","Promet offline, CI i scripts inexistents"
"BRAIN-040","P2","futur","ARCHIVE_DELETE","_wiki_de_poble/03_GOVERNAR_Normativa_Regles/FORJA_TO_CORE.md","_wiki_de_poble/04_ARXIU_Documents_Historics/2026_08/","","Futur no implementat i A10/offline"
"BRAIN-041","P1","arxiu","MERGE_DELETE","_wiki_de_poble/90_arxiu_historic/","_wiki_de_poble/04_ARXIU_Documents_Historics/2026_07/legacy_pre_canonical/","Aplicar pla revisat; sense sobreescriure","Dos arxius històrics"
"BRAIN-042","P1","escriptori","KEEP_REVIEW","_wiki_de_poble/05_Escriptori_Soc_de_Poble/260720_0235_BRIEFING_Recopilacio_d_Oportunitats_de_Subvencions_Valencianes_per_a_2026.md","","Revisar terminis d'agost-desembre 2026 i tancar només quan no hi haja accions vigents","Té estat actiu; arxivar-lo ara podria perdre oportunitats"
"BRAIN-043","P1","escriptori","MOVE","_wiki_de_poble/05_Escriptori_Soc_de_Poble/260729_0120_ACTA_MARMOTA_Tancament_Sessio.md","_wiki_de_poble/04_ARXIU_Documents_Historics/2026_07/","","Acta tancada"
"BRAIN-044","P0","contracte","MOVE_KEEP","_wiki_de_poble/05_Escriptori_Soc_de_Poble/260801_1900_ACTA_SESSIO_Enviament_NLnet.md","_wiki_de_poble/04_ARXIU_Documents_Historics/2026_08/","Crear ADR abans de canviar promeses","Registra compromís enviat sobre CRDT/NixOS"
"BRAIN-045","P2","duplicat","DELETE_AFTER_VERIFY","_wiki_de_poble/05_Escriptori_Soc_de_Poble/260729_1422_PROMPT_Auditoria_Final_ARXIUS_ADJUNTS.md","","Conservar font original si existeix","Bolcat de codi duplicat"
"BRAIN-046","P2","duplicat","DELETE_AFTER_VERIFY","_wiki_de_poble/05_Escriptori_Soc_de_Poble/260729_1422_PROMPT_Auditoria_Final_Per_Tancar_La_IA_Del_Bot_WhatsApp_COMPLET_CONSELL.md","","Conservar font original si existeix","Bolcat quasi duplicat"
"BRAIN-047","P2","inbox","ARCHIVE_REWRITE","_wiki_de_poble/05_Escriptori_Soc_de_Poble/Capturador_Bookmarklet.md","","Canviar 00_Raw per 00_Bandeja_d_Entrada","Ruta d'entrada inexistent"
"BRAIN-048","P2","altre_projecte","MOVE_OUT","_wiki_de_poble/05_Escriptori_Soc_de_Poble/carmen_tattoos_naming.md","arxiu/projecte Carmen","","No pertany a Sóc de Poble"
"BRAIN-049","P2","obsidian","MOVE_ARCHIVE","_wiki_de_poble/05_Escriptori_Soc_de_Poble/PROPOSTA_UI_OBSIDIAN.md","_wiki_de_poble/02_ACTUAR_Maquina_Tecnica/obsidian_plugins/","","Proposta tècnica, no tasca activa"
"BRAIN-050","P1","escriptori","REWRITE","_wiki_de_poble/05_Escriptori_Soc_de_Poble/00_INDEX_ESCRIPTORI.md","","Cua amb estat, responsable, pròxima acció i revisió","Enllaça a 90 i a alegacions inexistent"
"HYGIENE-001","P2","local","TRASH_IGNORE","**/.DS_Store","","Usar brain_distill amb pla revisat","10 artefactes locals"
"HYGIENE-002","P2","obsidian","TRASH_IGNORE","_wiki_de_poble/.obsidian/workspace.json","","Usar brain_distill amb pla revisat","Estat local de la interfície"
"HYGIENE-003","P2","plugins","STOP_VENDOR","_wiki_de_poble/.obsidian/plugins/","configuració/bootstrap documentat","Verificar si l'equip necessita versions fixades","Bundles de tercers inflen el Brain i no són coneixement"
"QUAR-001","P1","quarantena","DELETE","_wiki_de_poble/05_Escriptori_Soc_de_Poble/quarantena_scripts/bot.tar.gz","","Després de confirmar que els sis fitxers live són la font","Snapshot vell/redundant"
"QUAR-002","P1","quarantena","DELETE","_wiki_de_poble/05_Escriptori_Soc_de_Poble/quarantena_scripts/audit_result.json","","Regenerar amb brain_audit","Filtra ruta absoluta i no és reproduïble"
"QUAR-003","P1","quarantena","DELETE","_wiki_de_poble/05_Escriptori_Soc_de_Poble/quarantena_scripts/test-genai.mjs","","Substituir per unit test determinista","Smoke test live/pagat"
"QUAR-004","P1","quarantena","DELETE","_wiki_de_poble/05_Escriptori_Soc_de_Poble/quarantena_scripts/test-imagen-2.mjs","","Substituir per unit test determinista","Smoke test live/pagat"
"QUAR-005","P1","quarantena","DELETE","_wiki_de_poble/05_Escriptori_Soc_de_Poble/quarantena_scripts/test-imagen-models.mjs","","Substituir per unit test determinista","Smoke test live/pagat"
"QUAR-006","P1","quarantena","DELETE","_wiki_de_poble/05_Escriptori_Soc_de_Poble/quarantena_scripts/test-imagen.mjs","","Substituir per unit test determinista","Smoke test live/pagat"
"QUAR-007","P1","quarantena","DELETE","_wiki_de_poble/05_Escriptori_Soc_de_Poble/quarantena_scripts/test-models.mjs","","Substituir per unit test determinista","Posa clau en query URL"
"QUAR-008","P1","quarantena","DELETE","_wiki_de_poble/05_Escriptori_Soc_de_Poble/quarantena_scripts/test_cervell.mjs","","Substituir per unit test determinista","Ruta importada inexistent"
"QUAR-009","P1","quarantena","DELETE","_wiki_de_poble/05_Escriptori_Soc_de_Poble/quarantena_scripts/test_function_call.mjs","","Substituir per unit test determinista","Smoke test live/pagat"
"QUAR-010","P1","quarantena","DELETE","_wiki_de_poble/05_Escriptori_Soc_de_Poble/quarantena_scripts/test_gemini.mjs","","Substituir per unit test determinista","Smoke test live/pagat"
"QUAR-011","P1","quarantena","DELETE","_wiki_de_poble/05_Escriptori_Soc_de_Poble/quarantena_scripts/test_models.mjs","","Substituir per unit test determinista","Smoke test live/pagat"
"QUAR-012","P2","quarantena","DELETE","_wiki_de_poble/05_Escriptori_Soc_de_Poble/quarantena_scripts/00_INDEX_QUARANTENA.md","","Quan la carpeta quede buida","Índex de restes"
